ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
102.165.48.152,cyberghost,confirmed,US,,wireguard,AS174,"COGENT-174 - Cogent Communications, LLC, US",cyberghost_dns,2026-06-29,1-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-06-29,2026-06-29,true
79.127.132.63,cyberghost,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",cyberghost_dns,2026-06-29,1-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-07,2026-06-29,true
102.165.48.144,cyberghost,confirmed,US,,wireguard,AS174,"COGENT-174 - Cogent Communications, LLC, US",cyberghost_dns,2026-06-29,1-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-06-29,2026-06-29,true
79.127.132.66,cyberghost,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",cyberghost_dns,2026-06-29,1-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-08,2026-06-29,true
79.127.132.64,cyberghost,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",cyberghost_dns,2026-06-29,1-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-08,2026-06-29,true
79.127.132.61,cyberghost,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",cyberghost_dns,2026-06-29,1-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-07,2026-06-29,true
79.127.132.68,cyberghost,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",cyberghost_dns,2026-06-29,1-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-11,2026-06-29,true
79.127.132.62,cyberghost,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",cyberghost_dns,2026-06-29,1-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-07,2026-06-29,true
79.127.132.65,cyberghost,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",cyberghost_dns,2026-06-29,1-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-10,2026-06-29,true
79.127.132.67,cyberghost,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",cyberghost_dns,2026-06-29,1-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-11,2026-06-29,true
154.16.49.232,cyberghost,confirmed,US,,wireguard,AS174,"COGENT-174 - Cogent Communications, LLC, US",cyberghost_dns,2026-06-29,10-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-07,2026-06-29,true
89.187.171.183,cyberghost,confirmed,US,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",cyberghost_dns,2026-06-29,10-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-27,2026-06-29,true
154.16.49.203,cyberghost,confirmed,US,,wireguard,AS174,"COGENT-174 - Cogent Communications, LLC, US",cyberghost_dns,2026-06-29,10-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-07,2026-06-29,true
89.187.171.180,cyberghost,confirmed,US,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",cyberghost_dns,2026-06-29,10-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-14,2026-06-29,true
89.187.171.182,cyberghost,confirmed,US,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",cyberghost_dns,2026-06-29,10-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-14,2026-06-29,true
154.16.49.231,cyberghost,confirmed,US,,wireguard,AS174,"COGENT-174 - Cogent Communications, LLC, US",cyberghost_dns,2026-06-29,10-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-07,2026-06-29,true
154.16.49.233,cyberghost,confirmed,US,,wireguard,AS174,"COGENT-174 - Cogent Communications, LLC, US",cyberghost_dns,2026-06-29,10-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-07,2026-06-29,true
89.187.171.181,cyberghost,confirmed,US,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",cyberghost_dns,2026-06-29,10-us.cg-dialup.net,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-015,2026-05-27,2026-06-29,true
