ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
176.67.85.203,fastvpn,confirmed,AD,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,adv-c02.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
176.67.85.209,fastvpn,confirmed,AD,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,adv-c03.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
176.67.85.197,fastvpn,confirmed,AD,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,adv-c01.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.138,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c11.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.149,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c13.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.161,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c15.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.11,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c21.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.23,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c23.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.29,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c24.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.35,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c25.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.41,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c26.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.5,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c20.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.132,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c10.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.173,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c12.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
205.185.221.155,fastvpn,confirmed,AE,,openvpn,AS62651,"NETPROTECT-DP - Strong Technology, LLC., US",fastvpn_config,2026-05-07,dxb-c14.vpn.wlvpn.com,Config archive download,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-029,2026-05-07,2026-05-07,true
