domain,target,reason,confidence
089gmail.com,Gmail (Google),Typosquatting with numeric prefix on gmail,High
1gmail.com,Gmail (Google),Typosquatting with numeric prefix on gmail,High
603gmail.com,Gmail (Google),Typosquatting with numeric prefix on gmail,High
68yahoo.com,"Yahoo (not in target list, but notable)",Typosquatting with numeric prefix,Medium
847gmail.com,Gmail (Google),Typosquatting with numeric prefix on gmail,High
addidas-group.com,Potential brand impersonation (Adidas),Typosquatting on Adidas brand (not in target list),Medium
binace.com,Binance,Typosquatting - missing 'n' in Binance,High
etoreo.com,Potential eToro impersonation (not in target list),Typosquatting on eToro brand,Medium
g-mail.com,Gmail (Google),Typosquatting with hyphen insertion in gmail,High
g.mail.com,Gmail (Google),Typosquatting with dot insertion in gmail,High
gail.com,Gmail (Google),Typosquatting - 'm' replaced with 'i' in gmail,High
gamil.com,Gmail (Google),Typosquatting - transposed letters 'm' and 'i' in gmail,High
geail.com,Gmail (Google),Typosquatting - 'm' replaced with 'e' in gmail,High
ggmail.com,Gmail (Google),Typosquatting - doubled 'g' in gmail,High
gma2il.com,Google,Typosquatting Gmail with character substitution '2' for 'i',High
gmaail.com,Google,Typosquatting Gmail with doubled 'a',High
gmaal.com,Google,Typosquatting Gmail with transposed characters,High
gmai.com,Google,Typosquatting Gmail with missing 'l',High
gmai9l.com,Google,Typosquatting Gmail with character substitution '9' for 'i',High
gmaiil.com,Google,Typosquatting Gmail with doubled 'i',High
gmaik.com,Google,Typosquatting Gmail with 'k' instead of 'l',High
gmail0.com,Google,Typosquatting Gmail with appended '0',High
gmail5.com,Google,Typosquatting Gmail with appended '5',High
gmail8.com,Google,Typosquatting Gmail with appended '8',High
gmailg.com,Google,Typosquatting Gmail with appended 'g',High
gmailh.com,Google,Typosquatting Gmail with appended 'h',High
gmailk.com,Google,Typosquatting Gmail with appended 'k',High
gmaill.com,Google,Typosquatting Gmail with doubled 'l',High
gmailm.com,Google,Typosquatting Gmail with appended 'm',High
gmailr.com,Google,Typosquatting Gmail with appended 'r',High
