domain,spf_record,spf_ula_match,spf_ula_range,spf_known_actor
00j.org,,False,,
07157.com,,False,,
0costonlineincome.com,,False,,
1000h.ai,,False,,
1010studio.com,,False,,
1012.com,,False,,
123market.com,,False,,
129.in,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,True,fd1b:212c:a5f9::/48,hotel (southafricaproject)
1350.com,,False,,
1370.com,,False,,
13896.com,,False,,
139774.com,,False,,
158.com,,False,,
17.org,,False,,
186site.com,,False,,
1909.com,,False,,
1961.com,,False,,
1962.com,,False,,
1964.com,,False,,
1969.com,,False,,
1970.com,,False,,
1974.com,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,True,fd1b:212c:a5f9::/48,hotel (southafricaproject)
1978.com,,False,,
1981.com,,False,,
1990.com,,False,,
1rms.com,,False,,
1shivom.com,,False,,
1xbet-6uh.top,,False,,
1xbet-azq.top,v=spf1 ip6:fdec:ae16:fda7::/48 -all,True,fdec:ae16:fda7::/48,golf (eye-mail primary relay)
1xbet-hnf.top,,False,,
1xbet-hwj.top,,False,,
1xbet-hzs.xyz,,False,,
1xbet-idu.top,,False,,
1xbet-iwe.top,,False,,
1xbet-jul.top,,False,,
1xbet-lwz.top,,False,,
1xbet-ubu.top,,False,,
1xbet-urx.top,,False,,
1zl.org,,False,,
2005euballoons.com,,False,,
20minutos.ws,,False,,
21212222.xyz,,False,,
2700.com,,False,,
2go-mail.com,,False,,
301.com,,False,,
3070tom.com,,False,,
34.no,,False,,
372.net,,False,,
3dsculpter.com,,False,,
3dsculpter.net,,False,,
401q.com,,False,,
43.com,,False,,
443.com,,False,,
4auction.com,,False,,
4drad.com,,False,,
4education.com,,False,,
4hotel.com,,False,,
4superbowl.com,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,True,fd1b:212c:a5f9::/48,hotel (southafricaproject)
4tires.com,,False,,
530run.com,,False,,
555.anztyy.shop,,False,,
555ja.com,,False,,
568732.ws,v=spf1 ip6:fdd6:e8ab:4e1e::/48 -all,True,fdd6:e8ab:4e1e::/48,foxtrot (registrar impersonation)
5688.win,,False,,
5sword.com,,False,,
5ubo.com,,False,,
6707778.xyz,,False,,
673298.ws,,False,,
69postix.info,,False,,
69z.com,,False,,
6ekk.com,,False,,
6thamcdrr-thailand.net,,False,,
777originals.win,,False,,
782.com,,False,,
79percentclock.com,,False,,
812.com,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,True,fd1b:212c:a5f9::/48,hotel (southafricaproject)
818778.xyz,,False,,
830.com,,False,,
85bet365.vip,v=spf1 ip6:fd68:85f0:7c72::/48 -all,True,fd68:85f0:7c72::/48,pickelhost-alpha (primary relay)
869.com,,False,,
875.com,,False,,
894.com,,False,,
8i7.net,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,True,fd1b:212c:a5f9::/48,hotel (southafricaproject)
8mail.com,,False,,
929.be,,False,,
a-b.co.za,,False,,
a.masum.cc,,False,,
a.mx.arxxwalls.com,v=spf1 ip6:fdec:ae16:fda7::/48 -all,True,fdec:ae16:fda7::/48,golf (eye-mail primary relay)
a.mx.spacehotline.com,,False,,
a.mx.workingtall.com,,False,,
a1plumbjax.com,,False,,
a2ure.com,,False,,
a2ure.com,,False,,
aballar.com,,False,,
abandonkeep.com,,False,,
aberdeenpharmacy.com,,False,,
abhijeet.com,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,True,fd1b:212c:a5f9::/48,hotel (southafricaproject)
ac-shopify.top,,False,,
academicwebpublishers.org,,False,,
acceleratedps.com,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,True,fd1b:212c:a5f9::/48,hotel (southafricaproject)
acceso.emergentvillage.org,,False,,
access.emergentvillage.org,v=spf1 ip6:fdec:ae16:fda7::/48 -all,True,fdec:ae16:fda7::/48,golf (eye-mail primary relay)
